,canonical_smiles
20,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
170,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
49,O=c1[nH]c2cc(Cl)ccc2o1
152,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
165,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
197,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1
148,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
33,NNc1nncc2ccccc12
64,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
245,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C
264,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
199,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
29,NC(=O)N1c2ccccc2C=Cc2ccccc21
80,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
176,Oc1ccc2c(c1)CC[C@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1
72,Cn1cc[nH]c1=S
213,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
18,O=P1(N(CCCl)CCCl)NCCCO1
8,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
204,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
112,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
166,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1
237,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
182,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
142,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
306,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
315,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
52,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
198,Nc1nc2ccc(OC(F)(F)F)cc2s1
250,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
21,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
230,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
256,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
4,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
128,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
130,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
131,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
74,COc1c2occc2cc2ccc(=O)oc12
209,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
2,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
280,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
6,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
307,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
309,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
295,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
185,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
23,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1
270,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
81,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
298,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
150,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2
218,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
40,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O
242,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
261,COc1cccc(C2(O)CCCCC2CN(C)C)c1
66,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
95,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2
35,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
221,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
61,Nc1[nH]c(=O)ncc1F
45,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
187,CCN(CC)C(=O)C1(c2ccccc2)CC1CN
97,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
220,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
68,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1
249,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
7,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
32,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
39,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
34,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
279,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
278,Clc1ccc2nsnc2c1NC1=NCCN1
179,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br
271,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
10,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
305,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
141,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
139,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
233,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
146,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
9,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
272,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
297,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1
229,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1
248,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
114,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
258,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
109,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
190,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
178,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
184,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
224,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
246,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
235,Cc1c(O)c(=O)ccn1C
216,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
115,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
124,NC[C@H]1CC[C@H](C(=O)O)CC1
149,CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C
251,NCC1(CC(=O)O)CCCCC1
41,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
103,CC(N)C12CC3CC(CC(C3)C1)C2
137,NC12CC3CC(CC(C3)C1)C2
254,CC12CC3CC(C)(C1)CC(N)(C3)C2
37,S=c1nc[nH]c2nc[nH]c12
290,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
274,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O
207,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
108,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
76,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
147,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
110,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
200,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
44,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
86,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
168,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
84,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
313,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
289,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1
31,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
101,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C
162,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
