,canonical_smiles
486,COc1cc(C2OCC3C(c4cc(OC)c(OC5OC(CO)C(O)C(O)C5O)c(OC)c4)OCC23)cc(OC)c1OC1OC(CO)C(O)C(O)C1O
1506,CN1CCCC1COC(=O)C(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1
1226,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C3CCCC3)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
2859,COC(=O)C(O)CC(O)(C(=O)OC)C1Cc2c(oc3cc(C)cc(O)c3c2=O)S1
1742,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
2598,CC1=CCC(C)(C)C(O)C2CC2(C)C(O)CC1
360,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
353,CCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21
169,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
171,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1
211,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
1141,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1
2445,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
601,CC1=CC(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1)C23
2729,CCC(CCC(C)C1CCC2C3C(=O)C=C4CC(O)CCC4(C)C3CCC12C)C(C)C
637,C=C1C(=O)OC2CC(C)C3CC(O)OC(O)C3(C)CC12
332,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
682,Cn1cc(CC(N)C(=O)O)c2ccccc21
1186,CC(C)NCC(O)COc1cccc2[nH]ccc12
2300,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
2606,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O
424,CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13
2740,CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4CC(O)CCC43C)C23OC13
1189,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(OC2CCCCO2)C(C)O1
2301,COC(=O)C(c1ccccc1)C1CCCCN1
10,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
15,Clc1cc(Cl)c(OCC#CI)cc1Cl
20,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
34,Oc1ccc(O)cc1
51,NC(=O)OCC(COC(N)=O)c1ccccc1
57,NC(=O)NC(=O)Cc1ccccc1
59,NNCCc1ccccc1
62,O=C(CCCCCCC(=O)Nc1ccccc1)NO
79,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I
111,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
115,CNNCc1ccc(C(=O)NC(C)C)cc1
125,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I
