,canonical_smiles
150,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
34,NC1=NCC2c3ccccc3Cc3ccccc3N12
31,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1
181,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O
135,Cc1cccc(C)c1NC(=O)C1CCCCN1C
182,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
131,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
123,N[C@@H]1CONC1=O
9,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1
110,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
80,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1
116,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1
29,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1
121,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
7,COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1
124,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1
161,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
26,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1
149,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O
46,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
92,Nc1ncnc2nc[nH]c12
54,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
22,CN=C(NC#N)NCCSCc1nc[nH]c1C
101,CN(C)/N=N/c1nc[nH]c1C(N)=O
112,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF
8,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
90,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
44,Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2
114,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
30,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
11,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2
93,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
