,canonical_smiles
195,COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)cc1OC
206,COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(N)=O)c1OC
211,COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)NCCO)c1OC
293,COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OC)c1OC
294,CCOc1c(OC)ccc(C(=O)Cc2c(Cl)cncc2Cl)c1OC
297,COCCNC(=O)COc1c(C(=O)Cc2c(Cl)cncc2Cl)ccc(OC)c1OC
1525,CCCNC(=O)COc1c(C(=O)Cc2c(Cl)cncc2Cl)ccc(OC)c1OC
1524,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
1574,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
155,O=C1NC2(CC2)Cc2[nH]c3c(c21)CCc1cnc(-c2ccc(F)nc2)nc1-3
147,CCN(CC)C(=O)c1ccc(Oc2ccc3c(c2)COB3O)cc1
1578,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
630,Cc1cn(Cc2ccc3ccccc3c2)c2cc(C(=O)Nc3c(Cl)cncc3Cl)ccc12
461,c1ccc(-c2ccc3c(-c4ccncc4)c[nH]c3c2)cc1
843,CCC[C@@H]([C@@H](Cc1ccc(C)s1)C(=O)N[C@@H](CCC/N=C(/N)NS(=O)(=O)c1ccccn1)C(=O)Nc1nccs1)N(O)C=O
351,O=C1NCc2cc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl
1021,CCNC(=O)c1cn2ncnc(Nc3cc(C(=O)Nc4ncco4)ccc3C)c2c1C
466,C=C1C(=O)[C@]23[C@H](OC(=O)CCC(=O)Oc4ccc(-c5cc(=S)ss5)cc4)[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CCC2=O
1506,CNc1nc2cc(-c3ccccc3)nn2c2c1ncn2C
383,Cc1cc(NC(=O)c2c(O)nn3ccccc23)ccc1Oc1ccccc1
1265,O=C(Nc1ccc(Oc2ccccc2)cc1)c1c(O)nn2ccccc12
1427,Cn1c(=O)c2c(c3ccccc31)OC(N)=C(C#N)C2c1cccc([N+](=O)[O-])c1
1464,Cn1c(=O)c2c(c3ccccc31)OC(N)=C(C#N)C2c1cccc(Br)c1
343,CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ccc3cnccc3n2)cc1NC1CC1
45,COc1ccc(-c2cc3c(ccc4c5c([nH]c43)CCCNC5=O)cn2)cc1
767,CN1CCN(Cc2ccc(NC(=O)c3n[nH]cc3Nc3ncnc4[nH]ccc34)cc2)CC1
1595,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
1261,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF
336,CN1CCC2(CC1)CNC(=O)c1c2[nH]c2c1CCc1cnc(-c3ccccc3F)cc1-2
90,N#Cc1c(C2CCCNC2)cc(-c2ccccc2O)nc1N
329,COc1ccc(-c2cnc3nc(N)nc(N4CCSCC4)c3n2)cc1OC
481,CCN(CC)Cc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1
1472,O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(F)cc4)c3)cc12
1473,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1
424,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Br)c2c(N)ncnc21
490,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Cl)c2c(N)ncnc21
491,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(I)c2c(N)ncnc21
544,C=Cc1cn([C@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12
551,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@@H]1n1cc(Br)c2c(N)ncnc21
552,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12
