,canonical_smiles
2890,COc1ccc(C2CN(CCc3ccc(OC)c(OC)c3)CC2CCc2nc3ccc(Cl)cc3[nH]2)cc1
2918,O=C1NC(=O)C(c2nn(CCCN3CCCC3)c3ccccc23)=C1c1cn(-c2ccc3ccccc3c2)c2ccccc12
3890,COc1ccc2ncc(=O)n(C[C@H](N)C3CCC(NCc4ncc5c(n4)NC(=O)CO5)CC3)c2c1
141,O=C(O)C1CC2(c3ccc(F)cc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1
2189,CS(=O)(=O)NCC1CC2(c3ccc(F)cc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1
2262,FC(F)(F)Oc1ccc(OC2CC2)c(CN[C@H]2CCC3CC[C@]2(c2ccccc2)N3)c1
2367,OCC1C[C@]2(c3ccccc3)NC1CC[C@@H]2NCc1cc(OC(F)(F)F)ccc1OC1CC1
1604,c1ccc2oc(Oc3ccc(OCCN4CCCCC4)cc3)nc2c1
307,CS(=O)c1cccc(-c2ccc3ncc(-c4ccc(S(C)(=O)=O)cc4)n3n2)c1
1750,CS(=O)(=O)c1ccc(-c2cnc3ccc(-c4cccc(S(C)(=O)=O)c4)nn23)cc1
504,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
1722,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1[C@@H]1CNCC[C@H]1F
39,CCCN(CCC)CCc1cccc2c1CC(=O)N2
334,Cc1ccc2c(N3CCN(CCc4c(C)ccc5c4CCC(=O)N5)CC3)cccc2n1
336,Cc1ccc2c(N3CCN(CCc4cccc5c4CCC(=O)N5C)CC3)cccc2n1
572,Cc1ccc2c(N3CCN(CCc4cccc5c4CCC(=O)N5)CC3)cccc2n1
1843,Cc1ccc2c(N3CCN(CCc4c(C)ccc5c4CCC(=O)N5C)CC3)cccc2n1
210,Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1
1648,COc1ccc(C2CCC(N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1
746,CN(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(C(=O)N2CCC(NCCC(C)(C)c3ccc(Cl)cc3)C2)C1
1396,c1ccc(-c2cccc(OC3CC4CCC(C3)N4)n2)cc1
2617,N#Cc1cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3)nc(-c2ccccc2)c1
3111,N#Cc1ccccc1-c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3)n1
2324,CC1(C)CC(NC(=O)C2(O)CC2)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2O1
375,COC(=O)c1coc(CN2CCN(C(=O)CC(c3ccc(F)cc3)c3ccc(C(F)(F)F)cc3)CC2)n1
900,COC(=O)c1coc(CN2CCN(C(=O)CC(c3ccc(F)cc3)c3ccc(Br)cc3)CC2)n1
3512,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3sc(-c4ccc(Cl)cc4)nc3C)c2)cc1
114,COC1COCCC1NC1CCC(C(=O)N2CCN(c3nccc(C(F)(F)F)n3)CC2)(C(C)C)C1
2282,Cn1cc(-c2cnc3ccc4ccc(NS(C)(=O)=O)cc4c(=O)c3c2)cn1
991,Cc1ccc2c(N3CCN(CCc4cccc(N5CCOC5=O)c4)CC3)cccc2n1
859,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN(C2CCC(c3c[nH]c4ccccc34)CC2)C1
