,canonical_smiles
841,OCC1OC(OCC=Cc2ccccc2)C(O)C(O)C1O
977,O=C1CCCCCO1
398,c1ccc2c(c1)ccooc1ccccc12
371,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
520,O=C(C(=O)c1ccco1)c1ccco1
546,NC(=O)NC1NC(=O)NC1=O
178,CC(C)(c1ccccc1)C(C)(C)c1ccccc1
845,OC1CCCCCCC1
825,COc1ccc(Nc2ccc(CCNCC(O)c3ccc(O)c4[nH]c(=O)ccc34)cc2)cc1-c1ccccc1
593,CC1=CCC(C=CC(C)C(C)O)C1(C)C
707,CC(=O)/C(=N\Nc1cc(Cl)c(-c2cc(Cl)c(N/N=C(\C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C
713,CC(=O)/C(=N\Nc1ccc(-c2ccc(N/N=C(\C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1
714,CC(=O)/C(=N/Nc1ccc(-c2ccc(N/N=C(\C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C
715,COc1ccccc1NC(=O)/C(=N/Nc1ccc(-c2ccc(N/N=C(\C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O
716,CC(=O)/C(=N/Nc1ccc(-c2ccc(N/N=C(\C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C
717,COc1cc(NC(=O)/C(=N/Nc2ccc(-c3ccc(N/N=C(\C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl
718,CCOc1ccc(NC(=O)/C(=N/Nc2ccc(-c3ccc(N/N=C(\C(C)=O)C(=O)Nc4ccc(OCC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1
719,CC(=O)/C(=N\Nc1ccc(-c2ccc(N/N=C(\C(C)=O)C(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1
744,COc1ccccc1NC(=O)/C(=N/Nc1ccc(-c2ccc(N/N=C(\C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(C)=O
904,COc1cc(NC(=O)/C(=N/Nc2ccc(-c3ccc(N/N=C(\C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl
752,CCCCCCCCCCCCCCCCCCOP1OCC2(CO1)COP(OCCCCCCCCCCCCCCCCCC)OC2
848,OC1COC2C(O)COC12
7,S=c1[nH]c2ccccc2s1
337,C[N+]1(CC(=O)N/N=C/c2ccccc2O)CCOCC1
13,N=C1CC(=Nc2ccc(N)cc2)C(=N)CC1=Nc1ccc(N)cc1
373,CN1C2CCC1CC(O)C2
408,CN1C2CCC1CC(OS(C)(=O)=O)C2
409,CCOC(=O)CC1CC2CCC(C1)N2C
51,O=C(Oc1ccccc1)c1ccccc1
774,Cc1ccn[nH]1
735,CCCCCOC1OC(C)C(O)C(O)C1O
797,CCCC1CC(C)(OC(C)=O)CCO1
540,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
50,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O
892,S=C(SN1CCOCC1)N1CCOCC1
260,CC(C)C1OCCN1CCO
725,NC(Cc1c[nH]c2ccccc12)C(=O)O
791,CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2
271,CC(C)(C)N(CC(=O)c1ccc(O)c(CO)c1)Cc1ccccc1
361,COc1cc2c(cc1C(F)(F)F)NCC2
814,Cc1cc2c(cc1C(F)(F)F)NCC2
406,CCN(CCO)c1ccc(N=Nc2ncc([N+](=O)[O-])s2)c(C)c1
615,C1COCO1
153,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
470,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
997,CCCCCCCCCc1ccc(OP(Oc2ccc(CCCCCCCCC)cc2)Oc2ccc(CCCCCCCCC)cc2)cc1
937,O=C1OC(C(O)CO)C(O)=C1O
202,O=c1occo1
775,C=CC(=O)OCCCCOc1ccc(C(=O)Oc2ccc(OC(=O)c3ccc(OCCCCOC(=O)C=C)cc3)c(C)c2)cc1
295,CCOc1ccc(Cc2cc(C3(OC)OC(CO)C(O)C(O)C3O)ccc2Cl)cc1
132,O=c1cccccc1O
619,O=C1CCCCCCCCCCCC(=O)OCCO1
185,CC(C)(C)C1CCC(OC(=O)OOC(=O)OC2CCC(C(C)(C)C)CC2)CC1
846,OCCCC1CCCC1
171,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
547,CCCOc1ccc(Br)c(C(=O)c2ccc(OC)cc2O)c1
929,Cc1cc(F)ccc1C1CC(=O)C=CN1C(=O)OCc1ccccc1
297,Nc1ccc(CCNCC(O)c2ccccc2)cc1
270,Nc1ccccc1Nc1ccccc1
444,CC(C)Nc1ccc(Nc2ccccc2)cc1
677,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1
751,C1=CCC(C2OCC3(CO2)COC(C2CC=CCC2)OC3)CC1
682,CC(C)(C)N(Cc1ccccc1)CC(O)c1ccc(O)c(CO)c1
616,c1ccc2scnc2c1
207,O=S1(=O)CS(=O)(=O)OCO1
187,C=CC(=O)N1C(=O)N(C)C(C)C1c1ccccc1
571,CC1C(c2ccccc2)NC(=O)N1C
285,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO
698,CC1CCCO1
924,C1CCOC1
980,OCC1CCCO1
769,O=C(NCCCCCCNC(=O)NCc1ccccc1)NCc1ccccc1
877,O=c1c2ccccc2c(=O)c2c1ccc1[nH]c3c(ccc4c(=O)c5ccccc5c(=O)c43)[nH]c12
150,O=C1OC(=O)C2CCCCC12
118,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
135,C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1
283,CN(C)CCOC(C)(c1ccccc1)c1ccc(Br)cc1
351,CCCCC(CC)C(c1ccc(O)cc1)c1ccc(O)cc1
478,COc1ccc(C)cc1C(CCN(C(C)C)C(C)C)c1ccccc1
634,CC(O)COc1ccc(C(C)(C)c2ccc(OCC(C)O)cc2)cc1
683,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
722,CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1
732,CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1
743,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C
780,CC(c1ccccc1)c1ccc(O)cc1O
788,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl
918,CC(C)(C)OC(=O)NC(C(=O)O)C(c1ccc(F)cc1)c1ccc(F)cc1
611,COc1cc2c(cc1OC)CC(=O)NC=C2
764,CC(C)(CC1Cc2ccccc2C1)NCC(O)COc1cc(CCC(=O)O)cc(F)c1F
567,O=C(Nc1cc(Cl)c(NC(=O)c2cc3ccccc3c(N=Nc3cc(C(F)(F)F)ccc3Cl)c2O)cc1Cl)c1cc2ccccc2c(N=Nc2cc(C(F)(F)F)ccc2Cl)c1O
569,O=C(Nc1cc(Cl)c(NC(=O)c2cc3ccccc3c(N=Nc3cc(Cl)ccc3Cl)c2O)cc1Cl)c1cc2ccccc2c(N=Nc2cc(Cl)ccc2Cl)c1O
570,O=C(Nc1ccc(NC(=O)c2cc3ccccc3c(N=Nc3cc(Cl)ccc3Cl)c2O)c(Cl)c1)c1cc2ccccc2c(N=Nc2cc(Cl)ccc2Cl)c1O
515,O=CC=C(c1ccccc1)c1ccccc1
340,CC(Br)CCCN1C(=O)c2ccccc2C1=O
343,CC(I)CCCN1C(=O)c2ccccc2C1=O
674,CC(=O)CCCN1C(=O)c2ccccc2C1=O
878,O=C1NC(=O)c2ccccc21
22,O=c1c(-c2ccccc2)c1-c1ccccc1
903,COc1cc(NC(=O)/C(=N/Nc2cc(OC)c(S(=O)(=O)Nc3ccccc3)cc2OC)C(C)=O)c(OC)cc1Cl
456,C=C(C)C1CC=C(C)C(=NO)C1
381,CC(C)(C)c1ccc([I+2]=c2cc[c-](C(C)(C)C)cc2)cc1
378,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O
796,Cc1cccc2[nH]c(=S)[nH]c12
275,CCCCC(CC)COP(Oc1ccccc1)Oc1ccccc1
424,CC(C)CCCCCCCOP(Oc1ccccc1)Oc1ccccc1
998,c1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccccc5)cc4)nc(-c4ccc(-c5ccccc5)cc4)n3)cc2)cc1
372,CCCCCn1c(=O)[nH]c(=O)c2[nH]c(Cl)nc21
610,Cn1c(=O)c2c(ncn2C)n(C)c1=O
16,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
448,OC(COC1CC2C=CC1C2)(C(F)(F)F)C(F)(F)F
836,C1=CC2CCC1C2
633,COc1ccc(C2(C#N)CCC(=O)CC2)cc1OC1CCCC1
586,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
834,CCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C
334,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1
721,CC(C)(C)c1cc(C(C)(CC(=O)OCCOC(=O)CC(C)(c2ccc(O)c(C(C)(C)C)c2)c2ccc(O)c(C(C)(C)C)c2)c2ccc(O)c(C(C)(C)C)c2)ccc1O
369,C=C1CCC2CC1C2(C)C
983,CC1=CC(=O)NS(=O)(=O)O1
695,O=c1[nH]c2ccccc2s1
637,Nc1ccc(-c2ccc(N)c3c2C(=O)c2ccccc2C3=O)c2c1C(=O)c1ccccc1C2=O
822,O=C1c2c(Cl)c(Cl)c(Cl)c(Cl)c2C2=Nc3cccc4cccc(c34)N12
54,O=C(OOC(=O)c1ccccc1)c1ccccc1
179,O=C(OOC(=O)c1ccc(Cl)cc1Cl)c1ccc(Cl)cc1Cl
159,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
181,CC(C)C=NCC1CCCC(CN=CC(C)C)C1
186,CC(=O)OC1CCC(C(C)(C)C)CC1
196,NC1CCCCC1N
264,CCC(C)(C)C1CCC(CC=O)CC1
309,CC1(C)CC(N)CC(C)(CN)C1
324,CCCCCCCCCCCC(=O)OCC(C)(C)C=NCC1(C)CC(N=CC(C)(C)COC(=O)CCCCCCCCCCC)CC(C)(C)C1
479,CC(C)COC(=O)C1CCCCC1C(=O)OCC(C)C
484,C=C(C)C(=O)OC1CCCCC1
543,CC1CCC(C(C)C)C(O)C1
755,CC1CCC(C(C)C)C(OCC(O)CO)C1
808,CC(CO)CCCC1CCCCC1
844,C1CCCCC1
887,COC(=O)C1CCCC(C)C1
944,CC(=O)OC1CC(C)CCC1C(C)C
308,Nc1n[nH]c(=S)[nH]1
146,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccc(N=C=S)cc21
810,Cc1ccc(-n2nccn2)c(C(=O)O)c1
323,CC1CC=CCCCCCCCCC(=O)C1
399,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1
573,CCCOc1ccc2c(c1)C(O)(c1ccc(OC)cc1OCc1ccccc1)C(C(=O)N1C(=O)N(C)C(C)C1c1ccccc1)C2c1ccc2c(c1)OCO2
475,CC(C)(C=NCCCCCCN=CC(C)(C)CN1CCOCC1)CN1CCOCC1
10,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O
395,O=C(Nc1ccccc1)c1cc(Cl)ccc1O
261,CC(C)C1OCCN1CCOC(=O)NCCCCCCNC(=O)OCCN1CCOC1C(C)C
299,C1=COCCC1
807,CC1CCN(c2nc3cc(Cl)ccc3o2)CCN1
746,Cc1ccc(-n2[nH]c(C)c(/N=N/c3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C
568,COc1cc(OC)c(NC(=O)c2cc3ccccc3c(N=Nc3cc(C(=O)Nc4ccc(C(N)=O)cc4)ccc3OC)c2O)cc1Cl
580,COc1cc(NC(=O)c2cc3ccccc3c(N=Nc3cc(C(=O)Nc4ccccc4)ccc3OC)c2O)c(OC)cc1Cl
581,COc1ccc(C(=O)Nc2ccccc2)cc1N=Nc1c(O)c(C(=O)Nc2cc(Cl)ccc2OC)cc2ccccc12
582,COc1ccc(C(=O)Nc2ccccc2)cc1N=Nc1c(O)c(C(=O)Nc2cc(Cl)ccc2C)cc2ccccc12
974,COC(=O)c1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1N=Nc1c(O)c(C(=O)Nc2ccccc2OC)cc2ccccc12
541,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC21C
646,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1(O)C(=O)CO
862,Oc1ccc(C2COc3cc(O)ccc3C2)cc1
17,C=C(C)C1CC=C(C)C(=O)C1
823,CC(=O)OC(C)(C)C1CC=C(C)C(=O)C1
639,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
781,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
782,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
296,CC(=O)OCCC1=CCC2CC1C2(C)C
544,C=C1CC(C(=C)C)CCC1C
785,C=C1CCC(C(C)C)CC1
355,Nc1nc(-c2ccc3ccccc3c2)cs1
430,COC(=O)c1nc(Cl)c(Cl)nc1N
886,COC(=O)c1nccnc1N
548,O=C1C([P+](c2ccccc2)(c2ccccc2)c2ccccc2)CCN1c1ccccc1
572,CC(C)(C)OC(=O)N1CC(F)CC1C(=O)O
784,NC(=O)C1CC(F)CN1
798,CC(C)(C)OC(=O)N1CC(F)CC1C(N)=O
819,Nc1nc(N)nc(-c2ccccc2)n1
496,O=C1CCC(=O)O1
772,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1
35,CCOC=C1N=C(c2ccccc2)OC1=O
349,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
584,CCC1(CO)COCOC1
375,CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C
559,Cc1nn2c(=O)c3ccccc3[nH]c2c1/N=N/c1ccc(Cl)cc1[N+](=O)[O-]
174,ClCc1ccc2ccc3cccc4ccc1c2c34
799,CC1(C)COC2(CCC3C4CCC5=CC6(CCC5C4C(=O)CC32C)SCCS6)OC1
120,Oc1cccc2ccccc12
208,O=C=Nc1cccc2c(N=C=O)cccc12
739,OCCOc1ccc2ccccc2c1
818,COc1ccc2cc(C=O)ccc2c1
452,COC1=CC=C2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5
2,Oc1ccc(O)cc1
3,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
4,Cc1cc(N)ccc1N
5,Nc1ccccc1O
8,Nc1ccc(N)c([N+](=O)[O-])c1
11,Nc1ccc(N)cc1
14,BrCc1ccccc1
15,CC(=O)C=Cc1ccccc1
18,O=CC=Cc1ccccc1
19,OCC=Cc1ccccc1
30,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
37,O=CCc1ccccc1
38,CCCOC(=O)c1cc(O)c(O)c(O)c1
43,CC=Cc1ccc(O)c(OC)c1
45,CCC(=O)C=Cc1ccc(OC)cc1
53,CC(C=O)Cc1ccc(C(C)(C)C)cc1
56,C=CCc1ccc(O)c(OC)c1
58,Nc1ccccc1
60,CCCCCC(C=O)=Cc1ccccc1
61,Nc1cccc(O)c1
62,Oc1cccc(O)c1
65,Cc1ccc(CCC=O)cc1
66,CCOC(=O)c1ccc(N)cc1
70,OCc1ccccc1
73,Nc1ccc(S(N)(=O)=O)cc1
78,CCCCCC(=Cc1ccccc1)CO
79,CC(C=O)=Cc1ccccc1
80,CC(C=O)Cc1ccc(C(C)C)cc1
81,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
86,CCCCCCC(C=O)=Cc1ccccc1
88,COc1cc(C)ccc1O
89,CCCCCCOC(=O)c1ccccc1O
92,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1
95,COc1ccc(CO)cc1
97,COc1cc(C=O)ccc1O
98,O=C(O)c1ccccc1O
99,O=C(O)c1ccccc1
100,O=Cc1ccccc1
101,CCCOC(=O)c1ccc(O)cc1
102,COc1ccc(C(C)=O)cc1
104,CCOc1cc(C=O)ccc1O
106,Clc1ccccc1
107,CCOC(=O)c1ccccc1C(=O)OCC
113,COC(=O)c1ccccc1O
115,Nc1ccc(S(=O)(=O)O)cc1
116,Nc1ccc(C(=O)O)cc1
121,C=C(O)C(=O)c1ccccc1
125,CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1
126,O=[N+]([O-])c1ccc(CBr)cc1
128,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
133,CC(C=O)c1ccccc1
138,O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1
140,Cc1cccc(O)c1O
141,CNc1ccc(O)cc1
142,Cc1cc(O)ccc1N
144,Cc1ccc(N)cc1O
148,CN(C)c1ccc(N=O)cc1
